Text_ID,Text_ID_1,Text_ID_2,Text_ID_3
1,2140012024,BU014001,B130003140012024
2,8000030241,BU000548,B130009000030241
3,8000030788,BU000548,B130009000030788
4,8000030373,BU000548,B130009000030373
5,8000030667,BU000548,B130009000030667
6,8415030007,BU000548,B130009415030007
7,8416030003,BU000548,B130009416030003
8,8000030802,BU000548,B130009000030802
9,8000030837,BU000548,B130009000030837
10,8000030907,BU000548,B130009000030907
11,8000031108,BU000548,B130009000031108
12,8000031377,BU000548,B130009000031377
13,8000031687,BU000548,B130009000031687
14,8000031717,BU000548,B130009000031717
